name,rating,vicinity,type,arrondissement,latitude,longitude,user_ratings_total,zip_code
Dollfus Veronique,Note non disponible,"34 Rue Amelot, Paris",museum,3e,48.8580426,2.3687437,Aucune évaluation,75003
NextStreet Gallery,5,"NextStreet Gallery, 23 Place des Vosges, Paris",museum,3e,48.8563431,2.365221,3,75003
Le Socle Paris,4.2,"80 Rue Saint-Martin, Paris",museum,3e,48.8593751,2.3506072,9,75003
Rue mur street art,4.2,"11 Rue Jean Poulmarch, Paris",museum,3e,48.8723093,2.363592700000001,76,75003
MUR DE GRAFFITI,3,"77 Quai de Valmy, Paris",museum,3e,48.8723197,2.3639813,1,75003
Лувр,5,Paris,museum,3e,48.85661400000001,2.3522219,1,75003
Iconem,5,"82 Rue du Faubourg Saint-Martin, Paris",museum,3e,48.87234000000001,2.3577334,3,75003
Paris France Hotel,4.4,"72 Rue de Turbigo, Paris",playground,3e,48.8663414,2.3606007,703,75003
ibis Styles Paris République Le Marais,3.4,"9 Rue Léon Jouhaux, Paris",playground,3e,48.8691359,2.3641008,903,75003
Austin's Arts et Metiers Hotel,4.1,"6 Rue Montgolfier, Paris",playground,3e,48.8659408,2.3571481,271,75003
"The Originals City, Hôtel Paix République, Paris",4.1,"2 Boulevard Saint-Martin, Paris",playground,3e,48.86828449999999,2.3616711,438,75003
"The Originals Boutique, Hôtel du Vieux Saule, Paris Le Marais",4,"6 Rue de Picardie, Paris",playground,3e,48.8633274,2.3623363,193,75003
Paris Bruxelles,3,"4 Rue Meslay, Paris",playground,3e,48.8673557,2.3624357,461,75003
11th arrondissement,Note non disponible,11th arrondissement,playground,3e,48.8579444,2.3803946,Aucune évaluation,75003
"Crowne Plaza Paris - Republique, an IHG Hotel",4.1,"10 Place de la République, Paris",playground,3e,48.867437,2.365367,2446,75003
Saintonge,4.3,"16 Rue de Saintonge, Paris",playground,3e,48.86181949999999,2.3626054,174,75003
New Hotel République (ex-Albert's Hotel),4,"22 Rue du Grand Prieuré, Paris",playground,3e,48.86611159999999,2.3684602,275,75003
Boutique Hôtel Mareuil Paris,4.7,"51 Rue de Malte, Paris",playground,3e,48.86597399999999,2.3675037,355,75003
Villa Beaumarchais,4.1,"5 Rue des Arquebusiers, Paris",playground,3e,48.85902069999999,2.366956,447,75003
Little Hotel,3.9,"3 Rue Pierre Chausson, Paris",playground,3e,48.8705057,2.3601597,362,75003
Jules & Jim,4.7,"11 Rue des Gravilliers, Paris",playground,3e,48.86353330000001,2.3573722,416,75003
Les Tournelles,4.4,"Francep, 30 Rue de Turenne, Paris",playground,3e,48.856959,2.364616,173,75003
Citadines Apart’hotel République Paris,3.9,"75 bis Avenue Parmentier, Paris",playground,3e,48.8645158,2.3749136,359,75003
Cosmotel,4.4,"17 Boulevard de Strasbourg, Paris",playground,3e,48.8704879,2.354591199999999,343,75003
Auberge Flora,4,"44 Boulevard Richard-Lenoir, Paris",playground,3e,48.85822940000001,2.3719139,554,75003
Citadines Bastille Marais Paris,4.2,"37 Boulevard Richard-Lenoir, Paris",playground,3e,48.85811789999999,2.370883,656,75003
L'Hôtel des Métallos,4,"50 Rue de la Folie Méricourt, Paris",playground,3e,48.8640451,2.372022499999999,316,75003
Karraz,3,"12 Rue Mondétour, Paris",playground,3e,48.86266,2.3479852,4,75003
Excelsior Republique,3.2,"4 Rue de Lancry, Paris",playground,3e,48.8687939,2.3600904,346,75003
Pratic Hotel,3.5,"9 Rue d'Ormesson, Paris",playground,3e,48.8552669,2.3624667,277,75003
VirtualTime Réalité Virtuelle Paris Bastille-République,4.8,"72 Boulevard Voltaire, Paris",amusement_park,3e,48.8612994,2.3739026,417,75003
Jardin des Plantes,4.6,Paris,park,4e,48.8439069,2.359658,47659,75004
Friends of the National Museum of Natural History,4.8,"57 Rue Cuvier, Paris",park,4e,48.84448,2.357251,13,75004
Tino Rossi Garden,4.4,"2 Quai Saint-Bernard, Paris",park,4e,48.8470637,2.3608583,1755,75004
Square Samuel Paty,4.3,"2 Place Paul Painlevé, Paris",park,4e,48.8500692,2.3440919,292,75004
Square des arènes de Lutèce,4.4,"4 Rue des Arènes, Paris",park,4e,48.8447942,2.3533306,340,75004
Garden of the botanical school,4.4,"Allée Becquerel, Paris",park,4e,48.8436409,2.359440900000001,848,75004
Alpine Garden,4.8,"57 Rue Cuvier, Paris",park,4e,48.84395,2.358571,189,75004
Ecological Garden,4.8,"57 Rue Cuvier, Paris",park,4e,48.844243,2.361763,41,75004
Coulée Verte René-Dumont,4.5,"1 Coulée Verte René-Dumont, Paris",park,4e,48.8494548,2.3714863,5678,75004
